MP name,Nature of membership,Start of term,End of term,Number of terms,State,Constituency,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average,House,Paliament Term,TotalGOIRelease,UnSanctionBalance,UnspentBalance,LastInstNumber1,LastInstYear,LastReleaseDate,LastRelAmount,PendInstallNo,PendInstYear,ReasonsforNotRel,ReasonsforNotRel.1,Criminal Case,Total Assets,Liabilities
Dharambir,Elected,5/23/2019,In office,2,Haryana,Bhiwani-Mahendragarh,Bharatiya Janata Party,Male,Graduate,Graduate,64,8,0,53,0.97, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,6.9,0,25,0.94,Lok Sabha,17th Lok Sabha,5,2.5,3.64,2,2019-2020,27-02-2020,2.5,2,,,,0,60642205,240000
Manne Srinivas Reddy,Elected,5/23/2019,In office,1,Telangana,Mahabubnagar,Telangana Rashtra Samithi,Male,12th Pass,"B.Com. Educated at Osmania University, Hyderabad, Telangana",61,4,0,36,0.64, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,9.3,0,37,0.8,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,1/11/2019,2.5,1,,,,0,63353123,4569251
Manoj Rajoria,Elected,5/23/2019,In office,2,Rajasthan,Karauli-Dholpur,Bharatiya Janata Party,Male,Post Graduate,"B.H.M.S., M.D.(Homoeopathy)",50,23,4,64,0.97, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,21.6,0.8,52,0.93,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,3/12/2019,2.5,1,2019-20,,,0,64867148,22121569
Shripad Yesso Naik,Elected,5/23/2019,In office,5,Goa,North Goa,Bharatiya Janata Party,Male,Graduate,"B.A.; Educated at Goa and Bombay University, Mumbai (Maharashtra) ",67,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.)",,,,,,,,,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,6/2/2020,2.5,1,1997-98,,,0,65795623,1491387
P. Raveendranath Kumar,Elected,5/23/2019,In office,1,Tamil Nadu,Theni,All India Anna Dravida Munnetra Kazhagam,Male,Post Graduate,Information Not Available,40,45,0,42,0.82, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,14.9,0.2,43,0.84,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,25-02-2020,2.5,1,,,,0,65803231,32734079
Ramdas Chandrabhanji Tadas,Elected,5/23/2019,In office,2,Maharashtra,Wardha,Bharatiya Janata Party,Male,10th Pass,Undergraduate,66,16,0,95,0.88, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.5,0.6,82,0.79,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,29-08-2019,2.5,1,,,,0,65807822,8961387
Gajendra Umrao Singh Patel,Elected,5/23/2019,In office,1,Madhya Pradesh,Khargone,Bharatiya Janata Party,Male,Graduate Professional,"B.A., LL.B., Educated at Government College, Barwani, Madhya Pradesh",45,11,0,1,0.89, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,11.8,0.2,27,0.9,Lok Sabha,17th Lok Sabha,2.5,2.33,2.39,1,2019-2020,24-09-2019,2.5,,,,,0,67303990,1885020
K.C. Patel,Elected,5/23/2019,In office,2,Gujarat,Valsad,Bharatiya Janata Party,Male,Graduate Professional,M.B.B.S.,71,4,0,0,0.88, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12,0.4,42,0.91,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,9/8/2019,2.5,1,,Provisional Utilisation Certificate Pending.,Provisional Utilisation Certificate Pending.,0,68239480,0
Mohanbhai Kalyanjibhai Kundariya,Elected,5/23/2019,In office,2,Gujarat,Rajkot,Bharatiya Janata Party,Male,8th Pass,SSC,68,7,0,107,0.94, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12,0.4,42,0.91,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,16-12-2019,2.5,1,1997-98,,,0,68818120,16566856
Jitendra Singh,Elected,5/23/2019,In office,2,Jammu and Kashmir,Udhampur,Bharatiya Janata Party,Male,Post Graduate,MBBS,63,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.)",,,,,,,,,Lok Sabha,17th Lok Sabha,2.5,1.32,2.45,1,2019-2020,18-07-2019,2.5,2,2018-19,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",0,70827203,0
Pradyut Bordoloi,Elected,5/23/2019,In office,1,Assam,Nawgong,Indian National Congress,Male,Post Graduate,Information Not Available,59,9,0,34,0.98, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,10.3,0,31,0.86,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,3/12/2019,2.5,1,,,,0,74143272,4011152
Patel Hasmukhbhai Somabhai,Elected,5/23/2019,In office,1,Gujarat,Ahmedabad East,Bharatiya Janata Party,Male,Others,Information Not Available,59,3,0,9,0.95, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12,0.4,42,0.91,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,29-10-2019,2.5,1,1997-98,,,0,74699690,6252577
Kunwar Danish Ali,Elected,5/23/2019,In office,1,Uttar Pradesh,Amroha,Bahujan Samaj Party,Male,Graduate,Information Not Available,44,46,0,26,0.97, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,15-10-2019,2.5,1,1997-98,,,0,74920879,19579691
Mukesh Rajput,Elected,5/23/2019,In office,2,Uttar Pradesh,Farrukhabad,Bharatiya Janata Party,Male,Graduate,B.Sc.,51,17,0,26,0.95, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,5,2.7,4.95,2,2019-2020,6/3/2020,2.5,1,1997-98,,,0,74964501,388246
Mahendrabhai Munjapara,Elected,5/23/2019,In office,1,Gujarat,Surendranagar,Bharatiya Janata Party,Male,Post Graduate,Information Not Available,51,10,0,5,1, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12,0.4,42,0.91,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,26-09-2019,2.5,1,,,,0,79084513,14822528
Francisco Sardinha,Elected,5/23/2019,In office,4,Goa,South Goa,Indian National Congress,Male,Graduate Professional,"B.Sc., B.Ed.; Educated at Chowgule College, Bombay University (Maharashtra) ",73,5,0,22,0.92, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,5,0,22,0.92,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,24-09-2019,2.5,2,-,,,0,79402232,0
Rajiv Pratap Rudy,Elected,5/23/2019,In office,4,Bihar,Saran,Bharatiya Janata Party,Male,Post Graduate,"B.A. (Hons.) (Eco.), M.A. (Eco.), LL.B., Commercial Pilot Licence Educated at St. Michaels High School, Patna (Bihar), Government College and Panjab University, Chandigarh",57,33,2,65,0.94, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.8,0.5,32,0.87,Lok Sabha,17th Lok Sabha,,,,,,,,,,,,0,80740349,0
