MP name,Nature of membership,Start of term,End of term,Number of terms,State,Constituency,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average,House,Paliament Term,TotalGOIRelease,UnSanctionBalance,UnspentBalance,LastInstNumber1,LastInstYear,LastReleaseDate,LastRelAmount,PendInstallNo,PendInstYear,ReasonsforNotRel,ReasonsforNotRel.1,Criminal Case,Total Assets,Liabilities
Goddeti Madhavi,Elected,5/23/2019,In office,1,Andhra Pradesh,Araku,Yuvajana Sramika Rythu Congress Party,Female,Graduate Professional,"B.Sc. (Computer), B.P.Ed., Educated at SPACES Degree College and Srinivasa College of Physical Education",27,9,0,0,0.91, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,11.4,0,38,0.85,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,22-10-2019,2.5,2,2019-20,,,0,141179,0
Chandrani Murmu,Elected,5/23/2019,In office,1,Odisha,Keonjhar,Biju Janata Dal,Female,Graduate Professional,Information Not Available,Information not available,5,0,0,0.77, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,13.5,0.2,27,0.85,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,13-11-2019,2.5,1,1997-98,,,0,340580,0
Balak Nath,Elected,5/23/2019,In office,1,Rajasthan,Alwar,Bharatiya Janata Party,Male,10th Pass,Information Not Available,35,4,0,27,0.74, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,21.6,0.8,52,0.93,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,2/12/2019,2.5,1,2019-20,,,0,352929,0
Indra Hang Subba,Elected,5/23/2019,In office,1,Sikkim,Sikkim,Sikkim Krantikari Morcha,Male,Post Graduate,Information Not Available,Information not available,5,0,3,0.83, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,5,0,3,0.83,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,27-02-2020,2.5,2,1997-98,,,0,478817,0
Pratima Bhoumik,Elected,5/23/2019,In office,1,Tripura,Tripura West,Bharatiya Janata Party,Female,Graduate,Information Not Available,Information not available,11,0,65,0.86, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,9,0,89,0.92,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,27-02-2020,2.5,1,1997-98,,,0,642398,0
Pramila Bisoyi,Elected,5/23/2019,In office,1,Odisha,Aska,Biju Janata Dal,Female,5th Pass,Information Not Available,71,2,0,10,1, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,13.5,0.2,27,0.85,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,26-02-2020,2.5,2,-,,,0,732470,0
Achyutananda Samanta,Elected,5/23/2019,In office,1,Odisha,Kandhamal,Biju Janata Dal,Male,Doctorate,"M.Sc. (Chemistry), Ph.D, Educated at Utkal University, KIIT University, Odisha",56,14,0,30,0.86, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,13.5,0.2,27,0.85,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,24-09-2019,2.5,1,,Eligible MPR not Received.,Eligible MPR not Received.,0,1244722,0
Asit Kumar Mal,Elected,5/23/2019,In office,1,West Bengal,Bolpur,All India Trinamool Congress,Male,10th Pass,Information Not Available,64,10,0,3,0.89, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.6,0.2,24,0.8,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,12/9/2019,2.5,2,-,,,0,1310691,0
L. S. Tejasvi Surya,Elected,5/23/2019,In office,1,Karnataka,Bangalore South,Bharatiya Janata Party,Male,Graduate Professional,Information Not Available,29,12,0,64,0.91, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,5.8,0,41,0.78,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,15-11-2019,2.5,1,2017-18,,,0,1346593,0
S. Venkatesan,Elected,5/23/2019,In office,1,Tamil Nadu,Madurai,Communist Party of India (Marxist),Male,12th Pass,Information Not Available,49,12,0,50,0.82, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,14.9,0.2,43,0.84,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,31-12-2019,2.5,2,,,,0,1811456,0
Kripanath Mallah,Elected,5/23/2019,In office,1,Assam,Karimganj,Bharatiya Janata Party,Male,Graduate,Information Not Available,46,3,0,20,0.79, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,10.3,0,31,0.86,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,29-10-2019,2.5,1,1997-98,,,0,1871040,0
Rebati Tripura,Elected,5/23/2019,In office,1,Tripura,Tripura East,Bharatiya Janata Party,Male,Post Graduate,Information Not Available,43,7,0,112,0.97, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,9,0,89,0.92,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,24-09-2019,2.5,1,,Eligible MPR not Received.,Eligible MPR not Received.,0,1948315,0
Sanjay Bhatia,Elected,5/23/2019,In office,1,Haryana,Karnal,Bharatiya Janata Party,Male,Graduate,Information Not Available,52,2,0,0,0.97, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,6.9,0,25,0.94,Lok Sabha,17th Lok Sabha,2.5,2.45,2.45,1,2019-2020,29-10-2019,2.5,1,1997-98,,,0,2256739,500000
Sumedhanand Saraswati,Elected,5/23/2019,In office,2,Rajasthan,Sikar,Bharatiya Janata Party,Male,Post Graduate,Post Graduate,68,27,0,96,0.91, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,21.6,0.8,52,0.93,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,31-10-2019,2.5,1,2019-20,,,0,2827638,2719583
Ranjeeta Koli,Elected,5/23/2019,In office,1,Rajasthan,Bharatpur,Bharatiya Janata Party,Female,8th Pass,Information Not Available,40,11,0,39,1, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,21.6,0.8,52,0.93,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,31-12-2019,2.5,2,2019-20,,,0,3117190,0
Mahendra Singh Solanky,Elected,5/23/2019,In office,1,Madhya Pradesh,Dewas,Bharatiya Janata Party,Male,Graduate Professional,Information Not Available,Information not available,6,0,3,0.98, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,11.8,0.2,27,0.9,Lok Sabha,17th Lok Sabha,2.5,0.13,0.37,1,2019-2020,24-09-2019,2.5,2,2019-20,Nodal District Awaited.,Nodal District Awaited.,0,3812464,1832631
Suresh Nandigam,Elected,5/23/2019,In office,1,Andhra Pradesh,Bapatla,Yuvajana Sramika Rythu Congress Party,Male,8th Pass,Information Not Available,43,1,0,0,0.58, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,11.4,0,38,0.85,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,10/10/2019,2.5,1,2019-20,,,0,4158610,269000
Hanumana Ram,Elected,5/23/2019,In office,1,Rajasthan,Nagaur,Rashtriya Loktantrik Party,Male,Graduate Professional,Information Not Available,47,59,0,57,0.94, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,21.6,0.8,52,0.93,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,20-11-2019,2.5,2,2018-19,,,0,4218568,0
Pravin Kumar Nishad,Elected,5/23/2019,In office,2,Uttar Pradesh,Sant Kabir Nagar,Bharatiya Janata Party,Male,Graduate Professional,"Mechanical Engineering from Gautam Buddha University, Lucknow",31,2,0,11,0.88, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,3/9/2019,2.5,,,,,0,4300614,2326248
Rameswar Teli,Elected,5/23/2019,In office,2,Assam,Dibrugarh,Bharatiya Janata Party,Male,10th Pass,Higher Secondary,49,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.)",,,,,,,,,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,22-11-2019,2.5,2,1997-98,,,0,4370067,0
M. Selvaraj,Elected,5/23/2019,In office,5,Tamil Nadu,Nagapattinam,Communist Party of India,Male,12th Pass,Information Not Available,Information not available,32,0,62,0.82, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,14.9,0.2,43,0.84,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,19-02-2020,2.5,1,,,,0,4572837,1251381
Sunil Soren,Elected,5/23/2019,In office,1,Jharkhand,Dumka,Bharatiya Janata Party,Male,12th Pass,Information Not Available,47,2,0,0,0.8, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,14.2,0.8,48,0.73,Lok Sabha,17th Lok Sabha,5,1.42,3.81,2,2019-2020,27-02-2020,2.5,2,,,,0,4737559,685516
Sukanta Majumdar,Elected,5/23/2019,In office,1,West Bengal,Balurghat,Bharatiya Janata Party,Male,Doctorate,Information Not Available,40,16,0,157,0.98, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.6,0.2,24,0.8,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,19-09-2019,2.5,1,,,,0,5825866,2168170
S. Jothimani,Elected,5/23/2019,In office,1,Tamil Nadu,Karur,Indian National Congress,Female,Post Graduate,Information Not Available,44,14,0,37,0.86, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,14.9,0.2,43,0.84,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,30-01-2020,2.5,1,1997-98,,,0,6046055,379000
Dilip Saikia,Elected,5/23/2019,In office,1,Assam,Mangaldoi,Bharatiya Janata Party,Male,Graduate,"B.Com, Educated at Guwahati Commerce College",46,16,0,77,0.83, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,10.3,0,31,0.86,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,15-11-2019,2.5,1,1997-98,,,0,6206286,0
D. Ravikumar,Elected,5/23/2019,In office,1,Tamil Nadu,Viluppuram,Dravida Munnetra Kazhagam,Male,Doctorate,Information Not Available,Information not available,26,1,36,0.92, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,14.9,0.2,43,0.84,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,18-12-2019,2.5,1,1998-99,,,0,6509860,1369031
Ajay Kumar Mandal,Elected,5/23/2019,In office,1,Bihar,Bhagalpur,Janata Dal (United),Male,8th Pass,Information Not Available,Information not available,18,0,5,0.29, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.8,0.5,32,0.87,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,12/9/2019,2.5,2,2019-20,,,0,6801126,5364747
Mansukhbhai D. Vasava,Elected,5/23/2019,In office,6,Gujarat,Bharuch,Bharatiya Janata Party,Male,Post Graduate,"B.A., M.S.W.; Educated at South Gujarat University, Surat and Gujarat Vidyapith, Ahmedabad, Gujarat",62,14,0,47,0.92, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12,0.4,42,0.91,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,9/8/2019,2.5,1,,,,0,6835957,0
Gomati Sai,Elected,5/23/2019,In office,1,Chhattisgarh,Raigarh,Bharatiya Janata Party,Female,12th Pass,"12th Pass, Educated at Government Inter College, Tapkara, Jashpur, Chhattisgarh",41,4,0,4,0.89, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,6.7,0,23,0.91,Lok Sabha,17th Lok Sabha,5,2.51,3.24,2,2019-2020,27-02-2020,2.5,2,,,,0,7043539,0
Abdul Khaleque,Elected,5/23/2019,In office,1,Assam,Barpeta,Indian National Congress,Male,Post Graduate,"M.A. (Double) Educated at Guwahati University, Vinayika Mission University",49,18,0,57,1, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,10.3,0,31,0.86,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,29-10-2019,2.5,1,,,,0,7398753,2703693
K. Subbarayan,Elected,5/23/2019,In office,2,Tamil Nadu,Tiruppur,Communist Party of India,Male,10th Pass,"Matriculate, Educated at K.S.C. High School, Tiruppur",72,20,0,50,0.79, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,14.9,0.2,43,0.84,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,24-01-2020,2.5,2,1997-98,,,0,8035576,500000
Ramesh Chandra Majhi,Elected,5/23/2019,In office,1,Odisha,Nabarangpur,Biju Janata Dal,Male,Graduate,Information Not Available,41,12,0,12,0.82, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,13.5,0.2,27,0.85,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,20-12-2019,2.5,2,1997-98,,,0,8100600,771000
E. T. Mohammed Basheer,Elected,5/23/2019,In office,3,Kerala,Ponnani,Indian Union Muslim League,Male,10th Pass,,73,32,0,37,0.89, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,24.5,0.7,58,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,5/12/2019,2.5,1,,,,0,8103274,0
Rathva Gitaben Vajesingbhai,Elected,5/23/2019,In office,1,Gujarat,Chhota Udaipur,Bharatiya Janata Party,Female,12th Pass,Information Not Available,47,13,0,97,0.98, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12,0.4,42,0.91,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,12/9/2019,2.5,2,2017-18,"Audit Certificate Pending, Utilisation Certificate Pending.","Audit Certificate Pending, Utilisation Certificate Pending.",0,8634660,0
Ajay Tamta,Elected,5/23/2019,In office,2,Uttarakhand,Almora,Bharatiya Janata Party,Male,12th Pass,Inter (Science),47,9,0,9,0.92, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,13.8,1.3,9,0.97,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,13-03-2020,2.5,1,,,,0,9910448,55845
Ratansinh Magansing Rathod,Elected,5/23/2019,In office,1,Gujarat,Panchmahal,Bharatiya Janata Party,Male,Graduate Professional,Information Not Available,60,5,0,14,0.95, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12,0.4,42,0.91,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,17-09-2019,2.5,1,,,,0,10260663,1081611
Kunar Hembram,Elected,5/23/2019,In office,1,West Bengal,Jhargram,Bharatiya Janata Party,Male,Graduate Professional,"B.Tech. (Hons.), Educated at Indian Institute of Technology, Kharagpur, West Bengal",57,4,0,1,1, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.6,0.2,24,0.8,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,5/12/2019,2.5,1,1997-98,,,0,10387498,565000
Vishnu Dutt Sharma,Elected,5/23/2019,In office,1,Madhya Pradesh,Khajuraho,Bharatiya Janata Party,Male,Post Graduate,Information not Available,49,12,0,19,0.98, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,11.8,0.2,27,0.9,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,24-09-2019,2.5,,,,,0,10589334,2507176
Choudhury Mohan Jatua,Elected,5/23/2019,In office,3,West Bengal,Mathurapur,All India Trinamool Congress,Male,Post Graduate,M.Com.; Educated at Kolkata University,81,0,0,0,0.73, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.6,0.2,24,0.8,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,19-11-2019,2.5,1,1997-98,,,0,10667304,0
Niranjan Jyoti,Elected,5/23/2019,In office,2,Uttar Pradesh,Fatehpur,Bharatiya Janata Party,Female,12th Pass,Intermediate,53,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.)",,,,,,,,,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,20-12-2019,2.5,1,2019-20,,,0,10667372,910148
Ramulu Pothuganti,Elected,5/23/2019,In office,1,Telangana,Nagarkurnool,Telangana Rashtra Samithi,Male,Graduate,Information Not Available,67,12,0,0,0.95, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,9.3,0,37,0.8,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,17-10-2019,2.5,1,,,,0,10778684,0
Jayanta Kumar Roy,Elected,5/23/2019,In office,1,West Bengal,Jalpaiguri,Bharatiya Janata Party,Male,Graduate Professional,"M.B.B.S., M.D. (Community Medicine), Educated at North Bengal Medical College, (The West Bengal University of Health Sciences)",52,5,0,31,0.98, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.6,0.2,24,0.8,Lok Sabha,17th Lok Sabha,5,2.85,4.95,2,2019-2020,27-02-2020,2.5,2,2018-19,,,0,11625047,1352581
Suresh Pujari,Elected,5/23/2019,In office,1,Odisha,Bargarh,Bharatiya Janata Party,Male,Post Graduate,Information Not Available,59,9,0,0,0.79, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,13.5,0.2,27,0.85,Lok Sabha,17th Lok Sabha,2.5,2.45,2.45,1,2019-2020,29-11-2019,2.5,1,,,,0,11673429,0
Chandra Sekhar Sahu,Elected,5/23/2019,In office,2,Odisha,Berhampur,Biju Janata Dal,Male,10th Pass,"B. Sc. (Hons.) LL B., Educated at Khalikot College, Berhampur University, (Orissa)",69,8,0,65,0.68, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,13.5,0.2,27,0.85,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,6/2/2020,2.5,2,1997-98,,,0,11716989,0
Topon Kumar Gogoi,Elected,5/23/2019,In office,1,Assam,Jorhat,Bharatiya Janata Party,Male,Post Graduate,Information Not Available,50,3,0,2,0.95, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,10.3,0,31,0.86,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,24-09-2019,2.5,1,,Eligible MPR not Received.,Eligible MPR not Received.,0,12597461,455398
Vijay Kumar Hansdak,Elected,5/23/2019,In office,2,Jharkhand,Rajmahal,Jharkhand Mukti Morcha,Male,10th Pass,Matric,38,3,0,0,0.42, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,14.2,0.8,48,0.73,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,21-01-2020,2.5,1,,,,0,12919555,2743560
Sudarshan Bhagat,Elected,5/23/2019,In office,3,Jharkhand,Lohardaga,Bharatiya Janata Party,Male,Graduate,"B.A. (Hons.); Educated at Kartik Uraon College, Gumla, University of Ranchi, Jharkhand",50,7,0,10,0.77, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,14.2,0.8,48,0.73,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,26-12-2019,2.5,1,,,,0,12947303,525000
Chauhan Devusinh Jesingbhai,Elected,5/23/2019,In office,2,Gujarat,Kheda,Bharatiya Janata Party,Male,Others,Information not available,55,9,0,45,0.89, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12,0.4,42,0.91,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,6/9/2019,2.5,1,,,,0,13023202,995240
Shafiqur Rahman Barq,Elected,5/23/2019,In office,5,Uttar Pradesh,Sambhal,Samajwadi Party,Male,Graduate,"B.A.; Educated at Agra University, Agra, Uttar Pradesh",89,4,0,0,1, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,31-10-2019,2.5,1,,,,0,13296671,0
S. Ramalingam,Elected,5/23/2019,In office,1,Tamil Nadu,Mayiladuthurai,Dravida Munnetra Kazhagam,Male,Graduate,Information Not Available,76,3,0,18,0.85, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,14.9,0.2,43,0.84,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,15-11-2019,2.5,2,1997-98,,,0,13355095,215000
Arun Sao,Elected,5/23/2019,In office,1,Chhattisgarh,Bilaspur,Bharatiya Janata Party,Male,Graduate Professional,Information Not Available,51,8,0,36,1, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,6.7,0,23,0.91,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,24-09-2019,2.5,1,,,,0,13544588,50000
Lorho S. Pfoze,Elected,5/23/2019,In office,1,Manipur,Outer Manipur,Nagaland People's Front,Male,Graduate Professional,"M.B.B.S. Educated at Regional Medical College (Regional Institute of Medical Sciences), Imphal, Manipur",60,2,0,6,0.91, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,4.5,0,6,0.91,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,24-09-2019,2.5,1,,,,0,13709352,0
Gourav Gogoi,Elected,5/23/2019,In office,2,Assam,Kaliabor,Indian National Congress,Male,Post Graduate,Post Graduate,37,23,0,39,0.82, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,10.3,0,31,0.86,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,6/9/2019,2.5,1,,Eligible MPR not Received.,Eligible MPR not Received.,0,13727834,1250000
Abhishek Banerjee,Elected,5/23/2019,In office,2,West Bengal,Diamond Harbour,All India Trinamool Congress,Male,Graduate,Post Graduate,32,2,0,1,0.17, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.6,0.2,24,0.8,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,17-09-2019,2.5,1,,"Eligible MPR not Received, Provisional Utilisation Certificate Pending.","Eligible MPR not Received, Provisional Utilisation Certificate Pending.",0,13794320,0
Sanjay Seth,Elected,5/23/2019,In office,1,Jharkhand,Ranchi,Bharatiya Janata Party,Male,Graduate Professional,Information not available,60,14,0,34,0.74, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,14.2,0.8,48,0.73,Lok Sabha,17th Lok Sabha,2.5,-0.25,1.72,1,2019-2020,29-08-2019,2.5,1,,,,0,14044267,100000
Pradan Baruah,Elected,5/23/2019,In office,2,Assam,Lakhimpur,Bharatiya Janata Party,Male,12th Pass,"Diploma in Mech. Engg. In 1985 from Dibrugarh Politechnic, Assam, Passed H.S.L.C. from SEBA in 1980 from Silapathar R.H.S. School",54,0,0,4,0.91, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,10.3,0,31,0.86,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,29-08-2019,2.5,1,,,,0,14307978,5839285
Pallab Lochan Das,Elected,5/23/2019,In office,1,Assam,Tezpur,Bharatiya Janata Party,Male,Graduate,Information Not Available,41,9,0,16,0.94, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,10.3,0,31,0.86,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,29-10-2019,2.5,2,1997-98,,,0,14445139,0
Rajvir Diler,Elected,5/23/2019,In office,1,Uttar Pradesh,Hathras,Bharatiya Janata Party,Male,12th Pass,Information Not Available,61,0,0,3,1, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,29-10-2019,2.5,1,,,,0,14930000,0
Tirath Singh Rawat,Elected,5/23/2019,In office,1,Uttarakhand,Garhwal,Bharatiya Janata Party,Male,Post Graduate,Information Not Available,Information not available,19,2,8,1, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,13.8,1.3,9,0.97,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,26-12-2019,2.5,1,,,,0,15032657,3500000
Kiren Rijiju,Elected,5/23/2019,In office,3,Arunachal Pradesh,Arunachal West,Bharatiya Janata Party,Male,Graduate Professional,"B.A.,LL.B. 
Educated at Hansraj College and Campus Law Centre, Faculty of Law,
University of Delhi",48,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.)",,,,,,,,,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,6/2/2020,2.5,1,,,,0,15279000,0
Durga Das (D.D.) Uikey,Elected,5/23/2019,In office,1,Madhya Pradesh,Betul,Bharatiya Janata Party,Male,Post Graduate,Information Not Available,56,7,0,0,0.98, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,11.8,0.2,27,0.9,Lok Sabha,17th Lok Sabha,2.5,2,2.16,1,2019-2020,10/10/2019,2.5,2,2018-19,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",0,15413532,875803
Suresh Kumar Kashyap,Elected,5/23/2019,In office,1,Himachal Pradesh,Shimla,Bharatiya Janata Party,Male,Post Graduate,Information Not Available,48,7,0,9,1, (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,5.3,0,4,0.99,Lok Sabha,17th Lok Sabha,5,2.61,3.44,2,2019-2020,13-03-2020,2.5,2,,,,0,15705738,7873806
